;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
801;48;;;26;29;78;0;27;23;0;56;0;0;48;287;;; € 15,00 ; € 6,00 ; € 31,00 ; € -   ; € 19,00 ; € 148,00 ; € -   ; € 18,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
802;22;;;4;34;0;17;19;14;76;0;0;30;15;209;;; € 20,00 ; € 10,00 ; € -   ; € 8,00 ; € 17,00 ; € 134,00 ; € 21,00 ; € -   ; € -   ; € 18,00 ; € 20,00 ;;;;;;;;;;;;;;
803;57;;;14;28;43;0;2;0;88;0;16;68;35;294;;; € 20,00 ; € 8,00 ; € 26,00 ; € -   ; € 19,00 ; € -   ; € 22,00 ; € -   ; € 18,00 ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
804;52;;;20;17;0;0;0;72;0;0;30;0;0;139;;; € 20,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 135,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
805;98;;;2;0;26;15;0;44;30;0;0;0;0;117;;; € 16,00 ; € -   ; € 17,00 ; € 17,00 ; € -   ; € 120,00 ; € 9,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
806;125;;;7;48;0;0;0;0;0;14;0;5;0;74;;; € 20,00 ; € 9,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
807;11;;;7;12;0;1;35;0;0;31;0;38;48;172;;; € 15,00 ; € 7,00 ; € -   ; € 13,00 ; € 20,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 15,00 ; € 15,00 ;;;;;;;;;;;;;;
808;100;;;28;17;27;10;0;0;0;19;15;0;0;116;;; € 15,00 ; € 8,00 ; € 17,00 ; € 10,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
809;142;;;36;0;52;0;0;14;41;0;0;0;0;143;;; € 16,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 184,00 ; € 34,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
810;3;;;16;0;0;7;0;5;0;0;1;40;0;69;;; € 20,00 ; € -   ; € -   ; € 10,00 ; € -   ; € 158,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
811;105;;;20;0;0;2;45;0;12;13;0;0;0;92;;; € 18,00 ; € -   ; € -   ; € 15,00 ; € 16,00 ; € -   ; € 26,00 ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
812;97;;;18;0;85;0;33;45;79;44;11;40;8;363;;; € 16,00 ; € -   ; € 42,00 ; € -   ; € 19,00 ; € 131,00 ; € 38,00 ; € 20,00 ; € 18,00 ; € 19,00 ; € 18,00 ;;;;;;;;;;;;;;
813;1;;;16;0;72;9;16;65;0;3;5;0;0;186;;; € 17,00 ; € -   ; € 16,00 ; € 12,00 ; € 20,00 ; € 192,00 ; € -   ; € 19,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
814;123;;;1;0;0;0;0;45;49;37;13;78;0;223;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 196,00 ; € 27,00 ; € 19,00 ; € 18,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
815;91;;;15;0;3;0;36;0;0;0;10;90;0;154;;; € 20,00 ; € -   ; € 30,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
816;1;;;11;0;0;1;0;0;0;0;29;0;49;90;;; € 16,00 ; € -   ; € -   ; € 11,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
817;54;;;16;14;1;0;24;0;0;27;29;0;0;111;;; € 16,00 ; € 7,00 ; € 36,00 ; € -   ; € 16,00 ; € -   ; € -   ; € 15,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
818;133;;;0;0;0;9;0;0;0;54;22;0;0;85;;; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
819;5;;;16;18;0;0;4;0;0;0;21;0;14;73;;; € 15,00 ; € 10,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
820;54;;;12;45;0;0;40;0;0;0;22;19;19;157;;; € 16,00 ; € 8,00 ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 20,00 ; € 15,00 ;;;;;;;;;;;;;;
821;89;;;8;0;79;0;0;58;86;27;0;26;14;298;;; € 15,00 ; € -   ; € 18,00 ; € -   ; € -   ; € 105,00 ; € 27,00 ; € 17,00 ; € -   ; € 19,00 ; € 19,00 ;;;;;;;;;;;;;;
822;5;;;15;0;47;11;0;0;0;0;14;35;0;122;;; € 17,00 ; € -   ; € 43,00 ; € 13,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
823;34;;;6;43;35;19;0;0;0;0;7;86;0;196;;; € 16,00 ; € 10,00 ; € 49,00 ; € 11,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
824;88;;;2;0;41;0;6;0;58;31;3;0;0;141;;; € 20,00 ; € -   ; € 42,00 ; € -   ; € 16,00 ; € -   ; € 13,00 ; € 16,00 ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
825;106;;;5;0;98;8;0;69;56;51;7;0;0;294;;; € 18,00 ; € -   ; € 35,00 ; € 8,00 ; € -   ; € 169,00 ; € 34,00 ; € 18,00 ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
826;112;;;32;34;0;1;8;62;0;0;0;97;0;234;;; € 19,00 ; € 10,00 ; € -   ; € 18,00 ; € 16,00 ; € 191,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
827;125;;;4;3;0;0;0;0;16;6;0;49;24;102;;; € 16,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € 29,00 ; € 20,00 ; € -   ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
828;19;;;28;42;87;0;0;90;83;43;9;0;6;388;;; € 15,00 ; € 10,00 ; € 16,00 ; € -   ; € -   ; € 129,00 ; € 23,00 ; € 18,00 ; € 17,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
829;118;;;6;0;0;0;0;0;64;58;0;0;0;128;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 6,00 ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
830;20;;;18;0;0;0;0;0;0;42;0;0;46;106;;; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
831;37;;;22;0;87;8;31;58;0;0;0;105;0;311;;; € 18,00 ; € -   ; € 42,00 ; € 7,00 ; € 18,00 ; € 136,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
832;120;;;12;20;25;12;0;0;0;0;0;44;32;145;;; € 16,00 ; € 7,00 ; € 37,00 ; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 19,00 ;;;;;;;;;;;;;;
833;113;;;18;4;39;6;45;0;0;0;0;30;0;142;;; € 16,00 ; € 9,00 ; € 17,00 ; € 7,00 ; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
834;75;;;18;17;0;0;29;12;0;15;15;87;32;225;;; € 16,00 ; € 10,00 ; € -   ; € -   ; € 18,00 ; € 139,00 ; € -   ; € 16,00 ; € 17,00 ; € 20,00 ; € 16,00 ;;;;;;;;;;;;;;
835;26;;;24;0;0;16;34;22;0;1;0;85;0;182;;; € 19,00 ; € -   ; € -   ; € 12,00 ; € 19,00 ; € 176,00 ; € -   ; € 17,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
836;70;;;26;0;0;19;44;0;0;0;14;18;43;164;;; € 15,00 ; € -   ; € -   ; € 11,00 ; € 20,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
837;127;;;4;15;0;0;0;10;60;18;21;0;0;128;;; € 20,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 143,00 ; € 12,00 ; € 17,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
838;56;;;7;0;0;0;13;47;51;42;16;11;29;216;;; € 18,00 ; € -   ; € -   ; € -   ; € 18,00 ; € 144,00 ; € 15,00 ; € 15,00 ; € 20,00 ; € 15,00 ; € 18,00 ;;;;;;;;;;;;;;
839;140;;;15;0;0;0;49;0;0;0;17;81;42;204;;; € 16,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € 17,00 ; € 15,00 ; € 19,00 ;;;;;;;;;;;;;;
840;60;;;3;0;63;0;0;77;92;0;0;57;48;340;;; € 16,00 ; € -   ; € 38,00 ; € -   ; € -   ; € 177,00 ; € 26,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ;;;;;;;;;;;;;;
841;55;;;24;0;5;1;44;12;0;59;20;0;0;165;;; € 20,00 ; € -   ; € 25,00 ; € 20,00 ; € 17,00 ; € 118,00 ; € -   ; € 17,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
842;96;;;10;0;0;0;36;84;0;0;0;0;5;135;;; € 20,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 174,00 ; € -   ; € -   ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
843;45;;;8;16;79;19;0;48;0;44;0;0;47;261;;; € 20,00 ; € 8,00 ; € 20,00 ; € 13,00 ; € -   ; € 135,00 ; € -   ; € 17,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
844;128;;;2;37;10;0;3;80;0;0;0;0;0;132;;; € 20,00 ; € 6,00 ; € 38,00 ; € -   ; € 17,00 ; € 196,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
845;6;;;36;0;12;19;42;0;35;16;0;0;34;194;;; € 19,00 ; € -   ; € 45,00 ; € 15,00 ; € 16,00 ; € -   ; € 35,00 ; € 20,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
846;143;;;7;25;0;20;0;0;0;0;0;28;13;93;;; € 19,00 ; € 8,00 ; € -   ; € 11,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
847;10;;;10;36;0;0;50;84;0;0;11;0;0;191;;; € 20,00 ; € 7,00 ; € -   ; € -   ; € 17,00 ; € 154,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
848;83;;;3;33;0;0;41;59;0;0;0;59;0;195;;; € 19,00 ; € 6,00 ; € -   ; € -   ; € 17,00 ; € 128,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
849;71;;;22;0;0;1;0;0;21;0;0;0;11;55;;; € 19,00 ; € -   ; € -   ; € 5,00 ; € -   ; € -   ; € 6,00 ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
850;125;;;26;44;40;15;31;0;1;21;0;101;21;300;;; € 17,00 ; € 10,00 ; € 30,00 ; € 12,00 ; € 15,00 ; € -   ; € 10,00 ; € 15,00 ; € -   ; € 15,00 ; € 18,00 ;;;;;;;;;;;;;;
851;71;;;0;12;0;0;0;0;97;21;0;93;0;223;;; € -   ; € 10,00 ; € -   ; € -   ; € -   ; € -   ; € 8,00 ; € 15,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
852;127;;;38;0;64;0;7;95;0;14;0;0;0;218;;; € 17,00 ; € -   ; € 15,00 ; € -   ; € 17,00 ; € 181,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
853;128;;;3;37;16;17;0;90;9;19;8;0;44;243;;; € 15,00 ; € 7,00 ; € 17,00 ; € 16,00 ; € -   ; € 170,00 ; € 29,00 ; € 17,00 ; € 20,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
854;26;;;7;43;10;13;36;0;0;0;0;0;0;109;;; € 18,00 ; € 5,00 ; € 22,00 ; € 20,00 ; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
855;123;;;7;38;23;0;0;0;0;0;0;0;25;93;;; € 16,00 ; € 7,00 ; € 25,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
856;3;;;4;42;0;19;22;12;89;0;16;0;0;204;;; € 17,00 ; € 8,00 ; € -   ; € 20,00 ; € 20,00 ; € 169,00 ; € 5,00 ; € -   ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
857;1;;;19;0;0;0;0;0;68;0;0;76;0;163;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 7,00 ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
858;49;;;18;37;6;0;9;0;97;24;0;0;21;212;;; € 18,00 ; € 8,00 ; € 31,00 ; € -   ; € 20,00 ; € -   ; € 5,00 ; € 17,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
859;112;;;22;32;0;0;0;11;21;0;0;0;8;94;;; € 19,00 ; € 5,00 ; € -   ; € -   ; € -   ; € 193,00 ; € 23,00 ; € -   ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
860;135;;;4;49;0;0;0;30;0;51;0;0;0;134;;; € 16,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 192,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
861;71;;;28;0;0;9;47;8;0;13;26;0;42;173;;; € 19,00 ; € -   ; € -   ; € 5,00 ; € 16,00 ; € 156,00 ; € -   ; € 15,00 ; € 18,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
862;119;;;16;0;0;9;30;0;0;0;0;83;31;169;;; € 15,00 ; € -   ; € -   ; € 17,00 ; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 16,00 ; € 15,00 ;;;;;;;;;;;;;;
863;135;;;38;0;15;0;16;0;7;0;0;0;14;90;;; € 16,00 ; € -   ; € 42,00 ; € -   ; € 19,00 ; € -   ; € 40,00 ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
864;37;;;1;21;0;14;45;0;49;29;0;0;0;159;;; € 18,00 ; € 9,00 ; € -   ; € 12,00 ; € 19,00 ; € -   ; € 6,00 ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
865;33;;;18;0;0;0;0;0;0;0;0;20;28;66;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 16,00 ;;;;;;;;;;;;;;
866;129;;;7;20;80;11;30;0;0;19;0;67;0;234;;; € 15,00 ; € 7,00 ; € 35,00 ; € 11,00 ; € 16,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
867;34;;;20;0;93;0;0;100;96;0;15;21;0;345;;; € 16,00 ; € -   ; € 50,00 ; € -   ; € -   ; € 148,00 ; € 14,00 ; € -   ; € 18,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
868;36;;;12;27;83;6;14;0;0;36;6;29;40;253;;; € 17,00 ; € 9,00 ; € 33,00 ; € 7,00 ; € 17,00 ; € -   ; € -   ; € 16,00 ; € 18,00 ; € 18,00 ; € 20,00 ;;;;;;;;;;;;;;
869;32;;;18;0;7;0;0;21;0;0;8;65;9;128;;; € 17,00 ; € -   ; € 26,00 ; € -   ; € -   ; € 156,00 ; € -   ; € -   ; € 20,00 ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
870;102;;;18;17;0;6;47;0;2;0;0;42;9;141;;; € 15,00 ; € 9,00 ; € -   ; € 7,00 ; € 16,00 ; € -   ; € 16,00 ; € -   ; € -   ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
871;105;;;0;47;67;18;6;86;0;0;1;33;0;258;;; € -   ; € 6,00 ; € 45,00 ; € 12,00 ; € 19,00 ; € 125,00 ; € -   ; € -   ; € 20,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
872;80;;;16;41;24;16;0;66;0;0;19;0;25;207;;; € 19,00 ; € 10,00 ; € 42,00 ; € 5,00 ; € -   ; € 120,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
873;8;;;36;48;0;8;0;0;74;28;0;38;0;232;;; € 20,00 ; € 9,00 ; € -   ; € 5,00 ; € -   ; € -   ; € 12,00 ; € 16,00 ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
874;91;;;7;3;0;13;32;32;41;0;6;109;0;243;;; € 20,00 ; € 6,00 ; € -   ; € 6,00 ; € 15,00 ; € 188,00 ; € 38,00 ; € -   ; € 16,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
875;74;;;20;49;70;0;11;0;51;47;16;69;0;333;;; € 20,00 ; € 9,00 ; € 41,00 ; € -   ; € 15,00 ; € -   ; € 24,00 ; € 19,00 ; € 17,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
876;111;;;6;35;0;14;43;58;42;0;0;0;25;223;;; € 19,00 ; € 7,00 ; € -   ; € 11,00 ; € 16,00 ; € 185,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
877;81;;;9;0;0;0;0;0;0;22;0;0;0;31;;; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
878;58;;;6;0;0;0;0;48;0;14;22;0;0;90;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 114,00 ; € -   ; € 20,00 ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
879;135;;;16;0;72;0;24;73;0;15;21;0;0;221;;; € 18,00 ; € -   ; € 20,00 ; € -   ; € 17,00 ; € 186,00 ; € -   ; € 19,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
880;96;;;2;27;75;0;0;0;0;57;0;32;39;232;;; € 18,00 ; € 7,00 ; € 22,00 ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 16,00 ; € 19,00 ;;;;;;;;;;;;;;
881;112;;;17;11;74;0;12;0;0;35;29;37;0;215;;; € 17,00 ; € 6,00 ; € 32,00 ; € -   ; € 17,00 ; € -   ; € -   ; € 16,00 ; € 15,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
882;38;;;19;0;0;2;0;61;81;0;0;0;26;189;;; € 17,00 ; € -   ; € -   ; € 8,00 ; € -   ; € 112,00 ; € 29,00 ; € -   ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
883;116;;;18;2;0;19;48;50;0;0;0;0;0;137;;; € 16,00 ; € 9,00 ; € -   ; € 5,00 ; € 16,00 ; € 166,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
884;31;;;14;0;0;0;0;55;58;51;12;0;0;190;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 195,00 ; € 29,00 ; € 19,00 ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
885;90;;;24;0;57;0;6;99;17;0;0;0;0;203;;; € 17,00 ; € -   ; € 33,00 ; € -   ; € 20,00 ; € 161,00 ; € 30,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
886;41;;;38;0;77;5;28;81;0;0;0;0;0;229;;; € 16,00 ; € -   ; € 37,00 ; € 20,00 ; € 16,00 ; € 115,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
887;55;;;14;0;0;20;0;92;17;51;0;0;41;235;;; € 17,00 ; € -   ; € -   ; € 8,00 ; € -   ; € 121,00 ; € 30,00 ; € 17,00 ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
888;64;;;22;0;0;0;0;0;0;4;21;0;0;47;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 16,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
889;65;;;20;0;81;0;0;0;0;0;8;10;0;119;;; € 19,00 ; € -   ; € 37,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
890;115;;;18;42;11;0;0;0;55;11;12;86;46;281;;; € 16,00 ; € 6,00 ; € 45,00 ; € -   ; € -   ; € -   ; € 8,00 ; € 18,00 ; € 16,00 ; € 15,00 ; € 19,00 ;;;;;;;;;;;;;;
891;75;;;20;0;87;0;0;0;0;0;20;0;3;130;;; € 15,00 ; € -   ; € 50,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
892;29;;;34;0;40;0;2;0;84;0;0;0;0;160;;; € 16,00 ; € -   ; € 47,00 ; € -   ; € 19,00 ; € -   ; € 23,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
893;111;;;4;0;0;0;0;43;0;2;27;0;3;79;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 165,00 ; € -   ; € 15,00 ; € 20,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
894;108;;;38;15;0;20;0;0;12;0;0;0;7;92;;; € 15,00 ; € 7,00 ; € -   ; € 10,00 ; € -   ; € -   ; € 37,00 ; € -   ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
895;126;;;18;0;0;0;43;0;0;0;0;0;0;61;;; € 15,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
896;51;;;30;34;49;0;19;0;0;0;17;0;0;149;;; € 17,00 ; € 10,00 ; € 24,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
897;16;;;24;0;0;0;36;0;40;0;1;85;11;197;;; € 15,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 11,00 ; € -   ; € 17,00 ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
898;42;;;20;0;34;16;12;0;0;0;0;0;47;129;;; € 19,00 ; € -   ; € 49,00 ; € 15,00 ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
899;58;;;24;0;46;10;0;0;60;0;0;85;20;245;;; € 15,00 ; € -   ; € 22,00 ; € 11,00 ; € -   ; € -   ; € 39,00 ; € -   ; € -   ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
900;91;;;0;38;0;19;0;21;1;0;9;0;0;88;;; € -   ; € 10,00 ; € -   ; € 15,00 ; € -   ; € 186,00 ; € 5,00 ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
901;100;;;1;0;0;10;3;57;0;0;12;23;0;106;;; € 16,00 ; € -   ; € -   ; € 12,00 ; € 19,00 ; € 147,00 ; € -   ; € -   ; € 17,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
902;146;;;6;44;0;0;0;0;0;36;27;0;0;113;;; € 15,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
903;38;;;16;23;0;0;32;50;79;0;0;0;4;204;;; € 16,00 ; € 5,00 ; € -   ; € -   ; € 18,00 ; € 178,00 ; € 15,00 ; € -   ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
904;24;;;40;0;44;16;3;0;0;0;17;55;0;175;;; € 15,00 ; € -   ; € 38,00 ; € 10,00 ; € 19,00 ; € -   ; € -   ; € -   ; € 18,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
905;104;;;38;40;0;0;0;20;0;25;0;0;0;123;;; € 16,00 ; € 10,00 ; € -   ; € -   ; € -   ; € 176,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
906;59;;;13;0;0;0;36;85;0;54;0;0;0;188;;; € 18,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 173,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
907;81;;;16;0;3;15;0;0;63;0;0;93;0;190;;; € 18,00 ; € -   ; € 41,00 ; € 15,00 ; € -   ; € -   ; € 11,00 ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
908;96;;;20;0;0;0;28;0;0;0;0;9;0;57;;; € 19,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
909;134;;;6;0;0;14;0;0;0;43;0;0;49;112;;; € 15,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
910;101;;;8;30;36;0;0;0;0;0;0;0;0;74;;; € 15,00 ; € 8,00 ; € 32,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
911;5;;;5;0;0;16;48;61;0;42;0;13;20;205;;; € 19,00 ; € -   ; € -   ; € 18,00 ; € 17,00 ; € 122,00 ; € -   ; € 20,00 ; € -   ; € 17,00 ; € 20,00 ;;;;;;;;;;;;;;
912;107;;;30;42;0;0;0;50;20;7;17;69;0;235;;; € 17,00 ; € 6,00 ; € -   ; € -   ; € -   ; € 110,00 ; € 33,00 ; € 19,00 ; € 17,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
913;71;;;1;0;0;8;0;81;58;0;0;0;0;148;;; € 18,00 ; € -   ; € -   ; € 5,00 ; € -   ; € 118,00 ; € 25,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
914;110;;;26;40;0;0;5;0;85;0;25;84;0;265;;; € 19,00 ; € 6,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 7,00 ; € -   ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
915;79;;;10;25;15;0;29;64;0;4;27;0;0;174;;; € 15,00 ; € 7,00 ; € 44,00 ; € -   ; € 17,00 ; € 118,00 ; € -   ; € 18,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
916;16;;;12;10;0;15;47;6;89;0;0;76;0;255;;; € 16,00 ; € 8,00 ; € -   ; € 15,00 ; € 17,00 ; € 180,00 ; € 26,00 ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
